Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Pruni, Total, Vaslui, Anul 2023, Numar, 346963
Pruni, Total, Vaslui, Anul 2024, Numar, 265931
Pruni, Total, Braila, Anul 2000, Numar, 208602
Pruni, Total, Braila, Anul 2001, Numar, 213381
Pruni, Total, Braila, Anul 2002, Numar, 184540
Pruni, Total, Braila, Anul 2003, Numar, 202275
Pruni, Total, Braila, Anul 2004, Numar, 179267
Pruni, Total, Braila, Anul 2005, Numar, 167910
Pruni, Total, Braila, Anul 2006, Numar, 155058
Pruni, Total, Braila, Anul 2007, Numar, 84469
Pruni, Total, Braila, Anul 2008, Numar, 144947
Pruni, Total, Braila, Anul 2009, Numar, 139523
Pruni, Total, Braila, Anul 2010, Numar, 132535
Pruni, Total, Braila, Anul 2011, Numar, 173395
Pruni, Total, Braila, Anul 2012, Numar, 128143
Pruni, Total, Braila, Anul 2013, Numar, 128100
Pruni, Total, Braila, Anul 2014, Numar, 132113
Pruni, Total, Braila, Anul 2015, Numar, 143036
Pruni, Total, Braila, Anul 2016, Numar, 124584
Pruni, Total, Braila, Anul 2017, Numar, 124193
Pruni, Total, Braila, Anul 2018, Numar, 123596
Pruni, Total, Braila, Anul 2019, Numar, 152554
Pruni, Total, Braila, Anul 2020, Numar, 154122
Pruni, Total, Braila, Anul 2021, Numar, 157476
Pruni, Total, Braila, Anul 2022, Numar, 156569
Pruni, Total, Braila, Anul 2023, Numar, 152780
Pruni, Total, Braila, Anul 2024, Numar, 152242
Pruni, Total, Buzau, Anul 2000, Numar, 2034663
