An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2012, Bihor,Meri,676754,19420,29
 Anul 2012, Bihor,Meri,676754,19420,14
 Anul 2012, Bihor,Meri,676754,19420,18
 Anul 2012, Bihor,Meri,676754,19420,13
 Anul 2012, Bihor,Meri,676754,19420,16
 Anul 2012, Bihor,Meri,676754,1806,16
 Anul 2012, Bihor,Meri,676754,1806,29
 Anul 2012, Bihor,Meri,676754,1806,14
 Anul 2012, Bihor,Meri,676754,1806,18
 Anul 2012, Bihor,Meri,676754,1806,13
 Anul 2012, Bihor,Meri,676754,1806,16
 Anul 2012, Bihor,Meri,676754,4058,16
 Anul 2012, Bihor,Meri,676754,4058,29
 Anul 2012, Bihor,Meri,676754,4058,14
 Anul 2012, Bihor,Meri,676754,4058,18
 Anul 2012, Bihor,Meri,676754,4058,13
 Anul 2012, Bihor,Meri,676754,4058,16
 Anul 2012, Bihor,Meri,676754,1676,16
 Anul 2012, Bihor,Meri,676754,1676,29
 Anul 2012, Bihor,Meri,676754,1676,14
 Anul 2012, Bihor,Meri,676754,1676,18
 Anul 2012, Bihor,Meri,676754,1676,13
 Anul 2012, Bihor,Meri,676754,1676,16
 Anul 2012, Bihor,Meri,676754,1038,16
 Anul 2012, Bihor,Meri,676754,1038,29
 Anul 2012, Bihor,Meri,676754,1038,14
 Anul 2012, Bihor,Meri,676754,1038,18
 Anul 2012, Bihor,Meri,676754,1038,13
 Anul 2012, Bihor,Meri,676754,1038,16
 Anul 2013, Bihor,Meri,668735,13433,18
 Anul 2013, Bihor,Meri,668735,13433,36
 Anul 2013, Bihor,Meri,668735,13433,17
 Anul 2013, Bihor,Meri,668735,13433,22
 Anul 2013, Bihor,Meri,668735,13433,14
 Anul 2013, Bihor,Meri,668735,13433,16
 Anul 2013, Bihor,Meri,668735,23970,18
 Anul 2013, Bihor,Meri,668735,23970,36
 Anul 2013, Bihor,Meri,668735,23970,17
