Judet,An,Kg_pe_Pom,Rootstock_ID,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_vara,precipitatii_vara,umid_sol_rad_vara,temp_medie_an,precipitatii_an,cdd10_an,precipitatii_toamna,temp_medie_toamna,umid_sol_rad_toamna,zile_inghet_toamna,temp_min_iarna,zile_inghet_iarna
Bihor,2021,26.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.9,136.0,0.573,11.39,616.0,1732.0,111.7,11.49,0.56,4.0,-12.87,36.0
Bihor,2022,21.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,25.11,108.6,0.536,12.4,575.5,1984.7,228.4,12.24,0.659,8.0,-12.23,43.0
Bihor,2023,20.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.44,202.6,0.609,12.86,761.9,2036.0,208.8,14.26,0.579,10.0,-10.52,27.0
Bihor,2024,19.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,26.1,128.4,0.557,13.77,465.0,2326.0,134.9,12.06,0.57,20.0,-7.14,28.0
Bistrita-Nasaud,2000,8.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,20.29,109.3,0.473,9.0,350.4,1367.2,45.2,10.27,0.455,11.0,-22.79,60.0
Bistrita-Nasaud,2001,8.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,19.64,193.6,0.51,8.25,596.0,1241.9,164.1,8.14,0.53,28.0,-13.49,49.0
Bistrita-Nasaud,2002,11.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,20.53,156.1,0.488,8.97,479.8,1341.4,157.6,8.69,0.526,18.0,-19.49,54.0
Bistrita-Nasaud,2003,10.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,20.51,157.5,0.488,8.07,474.0,1377.6,148.7,8.1,0.532,21.0,-20.17,59.0
Bistrita-Nasaud,2004,14.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,18.77,271.2,0.567,7.85,779.8,1052.0,199.6,8.99,0.597,19.0,-21.9,57.0
Bistrita-Nasaud,2005,14.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,17.81,440.8,0.681,7.47,889.9,1030.6,93.7,8.5,0.631,25.0,-21.48,59.0
Bistrita-Nasaud,2006,14.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,18.21,359.4,0.678,7.98,793.0,1039.4,80.5,9.5,0.572,18.0,-20.67,57.0
Bistrita-Nasaud,2007,7.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,20.7,274.6,0.537,9.17,817.6,1285.5,237.1,7.15,0.647,26.0,-13.63,51.0
Bistrita-Nasaud,2008,3.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,18.9,335.1,0.623,8.77,832.1,1096.4,162.0,8.89,0.585,21.0,-16.47,51.0
Bistrita-Nasaud,2009,10.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,19.82,257.2,0.551,9.19,697.3,1338.2,172.0,10.13,0.547,15.0,-15.19,51.0
Bistrita-Nasaud,2010,6.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,19.26,376.6,0.736,8.16,969.3,1084.1,158.7,8.29,0.635,22.0,-20.41,51.0
Bistrita-Nasaud,2011,16.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,19.22,286.6,0.576,8.4,576.6,1260.8,45.8,8.65,0.479,34.0,-13.88,55.0
Bistrita-Nasaud,2012,14.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,21.84,148.4,0.508,8.99,605.3,1616.2,118.6,11.3,0.505,11.0,-25.73,60.0
Bistrita-Nasaud,2013,27.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,19.48,232.8,0.584,8.81,686.7,1235.5,130.1,9.42,0.545,13.0,-16.01,59.0
Bistrita-Nasaud,2014,24.0,2,6.104,37.967,25.396,36.638,38.025,4.093,24.696,19.04,288.6,0.562,9.78,704.5,1235.4,135.6,9.95,0.565,20.0,-11.89,45.0
